No.;Описание;Описание 2
000502875;GRIND HOLDER CARDAN 160;STEEL THIN Bridge to China = 531218901
000502957;HANDLE COVER LOWER 800RXP;VACUUM PLAST Opido Plast AB
000510176;RADIO KIT 870 MHZ HTC EU;ASSEMBLED, SERVICE ONLY
000510177;RADIO KIT 2,4 GHZ JAPAN/KOREA;ASSEMBLED, SERVICE ONLY
000510178;RADIO KIT 915 MHZ HTC US;ASSEMBLED, SERVICE ONLY
000510332;Главина вътрешна;HUB WHEEL INTERSTEEL MECH Merx SvenskaAB=593583701
000510511;HOUSING T6 TOP;ALU- MACH Unnaryd Modell
000510738;Държач на диск за инструменти;STEEL THIN Bridge to China
000510847;LOCKING SPACER V2;STEEL MECH AB Maskinarbeten
000510858;INLET VALVE 35D;STEEL MACH Bridge to China AB
000511034;МАГНИТЕН ДЪРЖАЧ;STEEL THIN Bridge to China STEP 599961967
000511072;GRINDING COVER 5;PLASTIC VACUUM Opido Plast = 595765201
000550377;ЕЛ.ТАБЛО HTC 270 EG 110V ЧЕРНО;Blackline HTC 550377
000551079;CONTROL PANEL;
000551080;IGNITION CABLE MOTOR;
000551081;RELAY BOX 800 RXP;
000551082;DRIVE MOTOR CABLE 800RXP;
000551083;КАБЕЛ ОСНОВЕН ЗА ДВИГАТЕЛ 800 RXP;
000551084;BATTERY BOX 800RXP;
000551085;BATTERY MOTOR CABLE 800 RXP;
000551086;RELAY TO BATTERY CABLE;
0017141544;масло хидравлично;SHELL TELLUS S2 VX 46
0017700082;лепило loctite 3090;loctite 3090
0018970363;стикер atlas copco;L=160 white Re. 3382010023
0070402282;шлаух кабелен 8.4x11.3 Type E;LD-PE/Black NW8.5  Re1919902
0070402283;шлаух кабел12.3x15.8E L=565mm;LD-PE/Black NW13  PN1919911
0075000208;маркуч горивен 3/32 x 3/16;TYGON LP1200, EPA  CARB cert
0075000209;маркуч горивен 3/16 x 5/16;TYGON LP1200EPA CARBapprovedREF ALR00012 „REF. ALR
0075402543;маркуч горивен 3/16 =dia.4.8mm;Contitech OLN 2255
0090858418;шайба ф8,4х18х2 DIN 134;5/16'' поцинкована
0100504609;тапа найлонова;Nylon 6 Re. 3382010180
0100505023;планка;
0100505036;лента;
0100900827;изолатор гумен;C50/40 M10x10 NR40=3382010183
0101124700;щифт цилиндричен ф4 h6 x 25;ISO 2338 oiled ag corrosion
0101127400;PIN;
0101195130;щифт цилиндричен ф4m6 x 26;iso 8734 (~din 6325)
0101195154;щифт цилиндричен ф8m6 x 14;din 6325
0101195163;щифт ф8x20;din en iso 8734 (din6325)
0101231126;щифт цилиндричен ф4х24;din 6325, iso 8734 m6
0101231155;щифт ф6х30;din 6325
0101233100;Щифт цилиндричен Ф6m6x50;6m6 x 50 DIN 7 St
0101235700;щифт цилиндричен;CP 08x16 m6
0101246900;щифт цилиндричен;12X50 m6 EN-ISO 2338
0102032000;щифт цилиндричен ф6х25;din 6325, iso 8734 m6
0102038200;PARALLEL PIN 8X80;
0102095167;щифт цилиндричен ф8х40;DIA.8x40 ISO2338B BOSS.1300768
0106095102;GROOVED PIN;Mattssons Ref. 1331S4  4 14
0106095111;PIN;DOWEL 4X20 m6 PART OF TEX 12 PICK HAMMER (HHP)
0108110304;SPRING PIN 16 x 55 ISO 8752;SLOTTED SPRING PIN, HEAVY DUTY
0108110316;SPRING PIN 8 x 22 MM;TYPE C1 HEAVY DUTY, VSM 12785
0108110317;SPRING PIN 5 x 22 MM;TYPE C1 HEAVY DUTY, VSM 12785
0108110324;Щифт пружинен ф3х40;DIN 1481 BOSSARD REF.1327143
0108110357;щифт тръбен ф6x30;din 1481
0108119000;SPRING PIN 3 x 8 ISO 8752;SLOTTED SPRING PIN, HEAVY DUTY
0108119100;щифт тръбен ф3х10;din 1481
0108119400;SPRING PIN 3x16;DIN 1481,ISO 8752
0108119600;щифт ф3x20;din 1481
0108123600;SPRING PIN 4x12;DIN 1481 BOSSARD REF. 1327402
0108123800;щифт ф4x16;din 1481
0108124000;щифт ф4x20;din 1481
0108124200;щифт пружинен 4x24;DIN 1481, ISO 8752
0108129600;щифт тръбен ф5х20;din 1481
0108129800;PIN 5X24 MM;Ref.39100050024
0108130100;Щифт пружинен ф5х30 DIN1481;Spring pin Ref. 3371821162
0108130400;щифт тръбен ф5х40;din 1481
0108132000;щифт тръбен ф6х12;din 1481
0108132200;SPRING PIN;Ref.39100060016
0108132400;щифт пружинен;6x20
0108132600;щифт тръбен ф6х24;din 1481
0108132700;PIN;
0108133000;PIN 6X32 MM, SLOTTED;Mattssons Ref. 148100  6 32
0108133500;PIN;Mattssons Ref. 148100  6 55
0108135300;щифт тръбен ф8х20;din 1481
0108135500;PIN;
0108136000;щифт тръбен ф8х36;din 1481
0108136100;щифт тръбен ф8x40;din 1481
0108136300;щифт тръбен ф8x50;din 1481
0108136500;щифт пружинен ф8x60;din 1481
0108136600;щифт пружинен ф8x70;din 1481
0108139200;щифт тръбен ф10х40;din 1481
0108139400;щифт тръбен ф10х50;din 1481
0108139600;щифт тръбен ф10х60;din 1481
0108139700;щифт тръбен ф10х70;din 1481
0108151700;щифт тръбен ф16х40;din 1481
0108151900;щифт тръбен ф16х50;din 1481
0108152100;щифт тръбен ф16х60;din 1481
0108153500;SPRING PIN;Fabory Ref. 39100.160.065
0108169017;PIN;Ref.SG12X100
0108169037;SPRING PIN 16 x 70 MM;TYPE C3 GRINDED, VSM 12785
0108169067;PIN;Ref.SG16X100
0108169069;щифт пружинен ф16х80;din 1481
0108169077;щифт тръбен ф16х100;din 1481
0108169086;PIN;Ref.SG16X85
0108169098;PIN;Ref.22 X 30
0108169105;PIN;
0108169106;PIN;Ref.S18X80
0108169115;щифт тръбен ф12х90;din 1481
0108169154;SPRING PIN;Ref.S20X80
0108169155;SPRING PIN;Ref.S16X95
0108169164;PIN;
0108332800;PIN;
0108333000;PIN;
0108339200;PIN;
0111118700;шплинт 1.6x20;DIA.1,6x20 ISO1234 BOS.1363727
0111125202;шплинт ф3.2х28;din 94 ZnB/ ISO1234
0111125204;шплинт ф5х40;din 94 ZnB/ ISO1234
0111125503;шплинт ф2.5х22 din 94 ZnB;din 94 ZnB/ ISO 1234
0111127903;шплинт ф3.2х20;din 94 ZnB
0111128500;шплинт ф3.2х40;din 94 ZnB / ISO1234
0111131400;шплинт ф4х56;din 94 ZnB / ISO1234
0111152100;шплинт ф8х71;din 94 ZnB / ISO1234
0111168605;шплент LOCKING CLIP;DIA.18/3x60 Type A FZB=1364693
0111168606;шплинт пружинен ф2.0х43;допуска се ф2.0 RR A2K
0111168607;шплинт пружинен ф3;Matts 9100 RR 3  Re.
0111168609;шплинт пружинен ф6;Matts 9100 6 BRA2K Re. Dynapac 4700702681
0113415200;Ос ф8 х 22 CLEVIS PIN;DIA.8x22 DIN1434 BOSS.1190679
0113461536;ос ф10 x 90 ZnB;ISO 2341:1986, type B
0113461544;ос ф10 x 70 ZnB;ISO 2341:1986, type B
0113461547;щифт цилиндричен 10х28;din 1434 b-ZnB
0113461557;щифт цилиндричен 12х65;din 1444 b-ZnB Ref. 4700002392
0113461558;щифт ф9.5 х 45 -FeZn бял;
0116605900;винт м5х8;din 7985-5.8 ZnB
0129310500;поп нит  D2,4X8,6 AD 34 ABS;POP RIVET D2,4X8,6 AD 34 ABS
0129311300;попнит 4,8x14x10 Al/St;din 7337 Form A normal head
0129311700;попнит 4.0х13.9;AL/ST 4X13.9 Untreated
0129320700;нит ф3,2  RIVET;DIA.3,2X9 BOSSARD Re. 1366467
0129327074;попнит 2.4х10;AL/ST 2,4X10 K SK
0144329203;болт 3/8uncx51;ansi b18.2 - 8.8 zn
0144330403;болт3/8unc x4 1/2''(114mm)-8.8;FeZn   - din 931
0147110740;Болт М6х45 с цяла резба;din 933-8.8-ZnB Full thread
0147110961;болт M16x80;M16x080, 10.9, Geomet STD 47
0147111021;болт м10х40 с цяла резба;din 933-12.9 Geomet, iso 4017
0147111022;болт м12х45 с цяла резба;din 933-12.9 Geomet, iso 4017
0147111023;болт м16х40 с цяла резба;din 933-12.9 Geomet, iso 4017
0147111067;болт M8x130;din 931-10.9 ZnB
0147117103;болт м4х12 с цяла резба;din 933-8.8 fzb, iso 4017
0147117403;болт м4х20 с цяла резба;din 933-8.8 fzb, iso 4017
0147120303;болт м5х8-8.8 ZnB;DIN 933, ISO 4017
0147120403;болт;M05x010H, 8.8, A2K
0147120503;болт M05x012H, 8.8, A2K;M05x012H, 8.8, A2K
0147124203;Болт M6x8 DIN933  HEX.  SCREW;H M6x8 CL8.8 DIN933 =1049437
0147124303;болт M6x10H, 8.8, A2K;M06x010H, 8.8, A2K
0147124403;болт М6х12 - 8.8 fzb ISO 4017;
0147124603;болт M6х16 8.8, A2K;DIN 933
0147124703;болт M06x020H, 8.8, A2K;
0147124802;SCREW;
0147124903;болт м6х25H, 8.8, A2K;M06x025H, 8.8, A2K
0147125003;болт м6х30;din 931 - 8.8 zn
0147125103;болт м6х35;din 931 - 8.8 zn
0147125303;болт H M 6X45 CL8.8 DIN931;HEX.HEAD H M 6X45 CL8.8 DIN931
0147125403;болт;M06x050, 8.8, A2K
0147125503;болт M06x055, 8.8, A2K;M06x055, 8.8, A2K
0147125803;болт М6х70;M6S 8.8 M6X70 ISO 4014 A2K
0147132003;болт м8х12;din 933 - 8.8 zn
0147132103;болт;M08x014H, 8.8, A2K
0147132203;болт м8х16;din 933 - 8.8 zn
0147132303;болт М8х20;din 933 8.8 zn Ref 4700500053
0147132503;болт м8х25;M08x025H, 8.8, A2K HVA STD 725245371
0147132603;Болт M8х30 DIN 933-8.8 FZB;DIN 933-8.8  Ref.0147132603
0147132703;болт;M08x035, 8.8, A2K
0147132803;Болт M8х40   8.8  A2K DIN931;M08x040 8.8, A2K
0147133003;болт M08x50, 8.8, A2K;Re. Dynapac 4700500025
0147133012;болт М08х50H, 8.8, FZB;ISO4017, DIN933
0147133112;болт М08х55H, 8.8, FZB;ISO4017, DIN933
0147133203;болт M08x060, 8.8;M08x060, 8.8, A2K Re. 4700500026
0147133303;болт;M08x065, 8.8, A2K, DIN931
0147133403;болт;M08x070, 8.8, A2K
0147133503;болт;M08x075, 8.8, A2K
0147134003;болт M8x100;din 931-8.8 ZnB
0147134403;болт M8x130;din 931-8.8 ZnB
0147134603;болт M8x150;din 931-8.8 ZnB
0147135703;болт M10x012H, 8.8, A3K;STD 047
0147135803;болт М10х14 din 933 - 8.8 zn;din 933 8.8 zn Ref 0147135803
0147135903;болт м10х16;din 933-8.8 zn
0147136003;болт M10x020H, 8.8, A3K;Re. 4700500048 = HVA ST 725249371
0147136103;болт;M10x022H, 8.8, A3K
0147136203;Болт H M10x25 CL8.8 DIN933;CL8.8 DIN933 HEX.HEAD SCREW
0147136303;болт M10x030H, 8.8, A3K;Re. 4700500029
0147136403;болт M10x35H, 8.8, A3K ISO 4017;HVA Standard Ref. 725249771
0147136503;болт м10х40 s16;iso 4014 - 8.8 zn
0147136603;болт M10x45, 8.8, A3K;M10x45, 8.8, A3K , STD 047
0147136703;болт м10х50;din 931 - 8.8 zn
0147136803;болт;M10x055, 8.8, A3K, DIN931
0147136912;болт м10х60;din 933- 8.8 zn
0147137003;болт м10х65;din 931- 8.8 zn
0147137103;болт м10х70;din 931 - 8.8 zn Re. 3310300172
0147137503;болт м10х90;M10x090, 8.8   A3K
0147137703;болт M10x100, 8.8, A3K;
0147137903;болт M10x110, 8.8, A3K;AC SHANGHAI TRADING CO LTD.
0147138012;болт м10х120 8.8 DIN 933 fzb;supl. ref. 4211
0147138103;болт м10х130;din 931 - 8.8 zn
0147138203;болт м10х140;din 931 - 8.8 zn
0147138703;болт м10х200;din 931 - 8.8 zn
0147139803;болт;M12x020H, 8.8, A3K
0147140003;болт M12x25H, 8.8, A3K;M12x025H, 8.8, A3K
0147140103;болт м12х30;din 933-8.8 fzb
0147140203;болт M12x035H, 8.8, A3K;Re. 4700500037
0147140303;болт;M12x040H, 8.8, A3K
0147140403;болт М12х45;DIN 931-8.8 FZB
0147140503;болт м12х50 DIN931 CL8.8;M12x050, 8.8, A3K
0147140603;Болт M12x55, 8.8, FZB;M12x55, 8.8, FZB
0147140703;Болт M12x60, 8.8, A3K;M12x060, 8.8, A3K
0147140903;болт M12X70 CL8.8 DIN 931;HEX. HEAD SCREW
0147141003;болт м12х75;iso 4014-8.8 zn
0147141103;болт M12x080, 8.8, A3K;
0147141503;болт H M12X100 CL8.8 DIN931;SCREW  H M12X100 CL8.8 DIN931
0147141512;болт м12х100;HEX. HEAD SCREW
0147141803;болт M12X120;din 931-8.8 fzb, iso 4014
0147141812;болт M12X120 8.8 DIN933;HEX. HEAD SCREW
0147141903;Болт M12X130 CL8,8 DIN931FZB;HEX. HEAD SCREW = Re. 1050966
0147142003;болт м12х140;din 931-8.8 zn
0147142103;болт м12х150 - 8.8;din 931-8.8 zn
0147143103;болт M12X170 8,8 DIN931;HEX. HEAD SCREW
0147147403;Болт М16х25;DIN933-8.8
0147147503;болт м16х30;din 933-8.8 fzb
0147147603;болт м16х35;din 933-8.8 zn
0147147803;болт м16х45;din 933-8.8 fzb
0147148003;болт м16х55;din 931-8.8 fzb
0147148012;болт м16х55;din 933-8.8 zn
0147148403;болт м16х75;M16x075, 8.8 A3K
0147149703;болт м16х180;din 931-8.8 zn
0147150003;болт м16х220;din 931-8.8 zinc plated
0147155103;болт;M20x050H, 8.8, A9K
0147155503;SCREW M6S M20x70 8.8 fzb;HEX HEAD ISO 4014 ZINC PLATED
0147163603;HEX. HEAD SCREW  M24x80  8.8;2 amplitude compactor
0147163803;болт м24х90;din 931-8.8 zn
0147195877;болт H M10X80 CL8.8 DIN933 ZnB;HEX. HEAD SCREW
0147195903;болт M10x1,25x25H, 8.8, fzb;ситна стъпка, DIN961
0147195942;болт M10x1,25x20H, 8.8, fzb;ситна стъпка, DIN961
0147195975;болт M10x1,25x100, 8.8, fzb;ситна стъпка, DIN960
0147195979;болт M10x1,25x45H, 8.8, fzb;ситна стъпка, DIN961
0147196016;болт H M10X90 CL8.8 DIN933 ZnB;HEX. HEAD SCREW
0147196058;болт М8х16 с цяла резба;din 933 a2-70 неръжд.=iso 4017
0147196119;болт м10х170;din 931 8.8 zn
0147196184;болт м8х18;din 933-8.8 ZnB
0147196419;болт м8х35;HEX. HEAD SCREW
0147197605;SCREW;Ref. 692108 F6 50
0147300008;болт с фланец м6х20;M06x20, 8.8, A2K
0147300015;болт  H M10X20 CL8.8 DIN6921;HEX. FLANGE SCREW
0147300029;болт с фланец м12х40-8.8 FZB;Re. M6SF DIN 6921 M12x40
0147300032;SCREW;Ref. 692108 F6 65
0147300033;болт H M6X12 CL8.8 DIN6921;HEX. FLANGE SCREW =3220846
0147300034;Болт M8X16 CL8.8 DIN6921;HEX. FLANGE SCREW
0147300047;болт с фланец м10х40;M10x40, 8.8, A3K
0147300049;болт с фланец м8х20;M08x20, 8.8, A2K
0147300050;болт с фланец м8х30;M08x30, 8.8, A2K
0147300060;болт с фланец м10х25;M10x25, 8.8, A3K
0147300072;SCREW;Ref.9002_8 8 20
0147300073;болт с фланец м6х30;M06x30, 8.8, A2K
0147300074;болт с фланец м8х25;M08x25, 8.8, A2K
0147300077;болт с фланец м8х12;M08x12, 8.8, A2K
0147300078;болт с фланец м12х50;M12x50, 8.8, A3K
0147300080;болт с фланец м8х40 S12;M8x40,M6SF 8.8,Ref. 9002 8 8 40
0147300081;болт м8х25;FLANGE SCREW
0160099679;Винт M5х12 DIN 7985-4.8 ZnB;
0160602200;винт м3х10 din 84a-4.8 ZnB;iso 1207 / din 84a-4.8 ZnB
0160602500;винт м3х16;iso 1207 / din 84a-4.8 ZnB
0160604200;винт M04x016H, 4.8, A2K;
0160606300;винт м5х20;iso 1207 / din 84a-4.8 ZnB
0160606600;винт м5х30;iso 1207 / din 84a-4.8 ZnB
0160606800;винт м5х40;iso 1207 / din 84a-4.8 ZnB
0162417200;винт м4х14;FS M4x14 CL4.8 DIN963A=1140590
0190124103;SET SCREW M6X6, black;SK6SS 45H CUP POINT ISO 4029
0190132300;винт стопорен м8х20;din 913-45h
0190132800;винт стопорен м8x40;din 913-45h zn
0192116800;винт стопорен м4х6;ISO 4028-45h
0192117000;винт стопорен м4х10;HCM4x10 45H DIN915=BOS.1029711
0192120500;винт стопорен м5х12;din 915-45h Ref.0192 1205 00
0192124300;винт стопорен м6х10;din 915-45h
0192132000;винт м8х12;din 915-45h
0192132300;винт стопорен м8х20;ISO 4028
0194120400;винт стопорен м5х10;iso 4027 / din 914-45h
0194124200;винт M6X 8 45H DIN914;HC M 6X 8 45H DIN914 = 1027972
0196116600;винт м4х4;din 916 - 45н
0196120100;винт стопорен м5х5;din 916 =  iso 4029 45H ZnB
0196120200;винт м5х6;din 916-45h черен
0196124100;винт стопорен м6х6;ISO 4029
0196124200;винт м6х8;din 916 - 45h (= ISO 4029)
0196124400;винт стопорен м6х12;iso 4029 / din 916-45h
0196131800;винт стопорен м8х8;din 916 =  iso 4029 45H ZnB
0196131900;винт м8х10;din 916 - 45h
0196132000;винт стопорен м8х12;din 916-45h, iso 4029
0196132300;Винт стопорен HC M8X20 DIN916;HC M 8X20 45H DIN916=1032968
0196132600;винт м8х30;din 916 - 45h
0196135600;винт стопорен м10х10-45H;ISO4029 oiled ag.corrosion
0196136000;Винт стопоренM10X20 45H DIN916;SET SCREW H DIN916 = ISO4029
0196155311;винт стопорен м6х8 45H;din 914=iso 4027 Re.4700110743
0196155318;винт стопорен м10x50;din 913-45h ZnB
0211110214;винт;M16x055H,12.9,Geomet
0211110224;SCREW M8X60;HEX SOCKET CAP Ref. 07060.080.060
0211110228;винт м6х80;iso 4762=din 912-8.8 zn
0211110248;винт м5х6;din 912 A2-70
0211110332;винт;M12x40H, 10.9,Geomet
0211110357;винт М12х45 full thread;DIN 912-10.9 Geomet или цинк
0211110478;винт М10х45;DIN 912-10.9 Geomet или цинк
0211110498;винт;M12x160, 12.9, Geomet
0211110518;SCREW M5X100 DIN912 8.8;PART OF AME1600 BY ENARCO REF. 102312
0211110800;винт М3х14-12.9;din 912 = iso 4762
0211116903;винт М4х8-8.8 fzb;din 912 = iso 4762
0211117003;винт М4х10 CL8.8;CHC M4x10 CL8.8 DIN912=1003917
0211117303;винт;M04x016H, 8.8, A2K = HVA STD 725529301
0211120303;винт м5х8;din 912 - 8.8 zn
0211120403;винт м5х10 8.8 fzb;din 912
0211120503;винт м5х12 8.8 fzb;din 912
0211120703;винт М5х16;M05x016H, 8.8, A2K DIN 912
0211120803;винт м5х20 8.8 fezn;din 912
0211121003;винт;M05x025H, 8.8, A2K
0211121103;винт м5х30-8.8;din 912-8.8 zn
0211121303;винт м5х40 8.8 DIN 912 fzb;ISO 4762 - 8.8 -FZB
0211121503;винт М5х50;M05x050, 8.8, A2K
0211121600;винт м5х55;din 912-12.9 черен
0211121803;винт м5х65 8.8 DIN 912 fzb;supl.ref.4823
0211124300;винт м6х10;din 912-12.9 черен
0211124303;Винт M6х10 DIN912-8.8 FZB;Re. 595347801 = 593495401 = 725536401
0211124401;SCREW;
0211124403;винт м6х12;din 912-8.8 zn
0211124503;винт м6х14;din 912-8.8 zn
0211124600;винт м6х16;din 912-12.9 черен
0211124603;винт М06х016Н;M06x016H, 8.8, A2K
0211124700;винт м6х20;din 912-12.9 черен
0211124703;винт M06x020H, 8.8, A2K DIN912;M06x020H, 8.8, A2K
0211124800;винт м6х22 12.9 din 912;
0211124903;винт M06x025H, 8.8, A2K;M06x025H, 8.8, A2K Re. 4700508012
0211125000;винт м6х30 с цяла резба;din 912-12.9, Geomet
0211125003;винт М6х30;M06x030H, 8.8, A2K
0211125103;винт м6х35;din 912 - 8.8 zn HVA STD 725537601
0211125303;винт м6х45;din 912-8.8 zn
0211131903;винт m8x10;din 912-8.8 zn
0211132000;винт м8х12;din 912-12.9 черен
0211132003;винт м8х12-8.8;din 912-8.8 zn
0211132200;винт м8х16;din 912 -12.9 черен
0211132203;винт м8х16;din 912 - 8.8 zn (=4700508005)
0211132300;винт м8х20;din 912-12.9 черен
0211132303;ВинтM8x20 H 8.8 A2K DIN912 Zn;M08x020H, 8.8, A2K din 912 Zn
0211132503;винт м8х25;din 912-8.8 zn HVA STD 725545301
0211132603;винт м8х30;din 912 - 8.8 zn
0211132703;винт м8х35;din 912-8.8 zn
0211132803;винт;M08x040, 8.8, A2K, Re. 4700508056
0211133000;винт М8х50;din 912-12.9
0211133003;винт;M08x050, 8.8, A2K
0211133203;винт;M08x060, 8.8, A2K Re. 4700508076
0211133303;винт м8х65;din 912-8.8  -FeZn
0211133403;винт м8х70;DIN 912-8.8  FZB = ISO 4762
0211134203;винт м8х110;din 912 - 8.8 zn
0211135903;винт М10х16;din 912-8.8 ZnB
0211136003;винт м10x20;din 912-8.8 fzb
0211136203;винт M10x25;M10x025H, 8.8, A3K Re. 4700508096
0211136300;винт м10х30;din 912-12.9 черен
0211136303;винт m10x30;M10x030H, 8.8, A3K Re. 4700508029
0211136400;винт m10x35;din 912-12.9
0211136403;Винт;M10x035H, 8.8, A3K
0211136503;винт м10х40;din 912 - 8.8 zn
0211136603;винт М10х45;M10x045, 8.8, A3K
0211136700;винт м10х50;din 912 - 12.9
0211136703;винт m10x50;din 912-8.8 zn
0211136800;винт m10x55;din 912-12.9
0211136900;винт м10x60;din 912-12.9
0211137100;винт м10х70;din 912 - 12.9
0211137503;винт м10х90;din 912 8.8 zn
0211140003;Винт M12x25mm;MC6S M12x25 8.8 fzb
0211140100;SCREW;Ref.07000120030
0211140103;винт м12x30;din 912 - 8.8 zn
0211140200;винт м12х35-12.9;din 912 = iso 4762
0211140303;винт;M12x040H, 8.8, A3K Re. 4700508063
0211140403;винт;M12x045H, 8.8, A3K
0211140603;SCREW M 12x55 8.8 A3K;ISO 4762
0211140700;Винт М12х60-12.9;din 912-12.9 oiled
0211140900;винт М12х70;din 912-12.9
0211141000;винт м12х75;din 912 -12.9
0211141003;винт М12х75 din 912-8.8 fzb;MC6S 8.8 M12x75 ISO 4762 A3K
0211141300;винт м12х90;din 912-12.9
0211141700;винт M12x110;din 912-12.9 черен
0211141900;винт м12х130;din 912 - 12.9 Re. 4700925818
0211145000;винт м14x90;din 912-12.9
0211147503;винт М16х30;MC6S 8.8 M16X30 FZB DIN 912
0211147700;винт м16х40;din 912-12.9
0211147800;винт м16х45;din 912-12.9
0211147900;винт М16х50 с цяла резба;din 912-12.9
0211147903;винт;M16x050H, 8.8, A3K
0211148100;винт м16х60;din 912-12.9
0211148103;винт;M16x060, 8.8, A3K
0211148700;винт м16х90;din 912-12.9
0211148900;винт м16x100;din 912-12.9
0211155100;винт М20х50 с цяла резба;din 912-12.9
0211155700;винт м20х80;din 912-12.9
0211171115;винт м10x1.25x70;Fine Pitch, DIN 912-8.8 FZB
0211196028;винт M16x45H, 8.8, A3K;M16x45H, 8.8, A3K
0211196296;винт м8х45-12.9;ISO 4762 flZnnc-480 h
0211196338;винт М10х100 12.9 DIN 912;ZINC PLATED Re. 4700925179
0211196344;винт М12х120 12.9 DIN 912;Geomet
0211196474;винт м10х80;din 912-8.8 zn
0211196477;SCREW;
0211196479;ВИНТ;MC6S M16x75 8.8 FZB
0211196492;винт М12х120 8.8 DIN 912;supl. ref. 5122
0211196536;SCREW;M12x80 12.9 ISO 4762 oiled
0211196541;HEX SOCKED HEAD SCREW;Ref. 76372 REPLACED BY 0211110332
0211516134;Винт UNF3/8x75;ansi b18.3-12.9black
0211516185;SCREW;
0215000377;винт М8х16 ISO 7380;black Zn / geomet
0215000380;винт м6х12;iso 7380 - a2 (неръжд.)
0215000635;винт М8х10 BN1206 cl.10.9;screw with special low head
0215000636;SCREW;
0215001029;винт м10x16, 10.9, FZB;ISO 7380
0215001065;винт m10x20;din 7984 - 8.8 zn
0215001073;винт м6x20, 10.9,FZn;ISO 7380
0215001086;винт;M05x12 10.9 fzb ISO 7380
0215001100;винт м8х25-10.9;ISO 7380-2 Zn Black
0215001102;винт м6x20,10.9,Zi-Ni Black;Re.K6SF 10.9 M6x20 ISO7380-2
0215001103;винт;M08x25, A2-70, Black
0215001107;винт м6x35,10.9,Zi-Ni Black;Re.K6SF 10.9 M6x35 ISO7380-2
0215001117;винт м4x25,10.9,fzb;Re.K6S 10.9 M4x25 ISO7380
0216110008;винт М10х20;din 7991-10.9 ZnB HVA STD 725649151
0216110016;винт м10х30;din 7991 - 8.8 zn
0216110018;винт М8х60;din 7991-8.8 ZnB
0216110022;винт;M05x30, A2-70, Black Re. 4700904747
0216110030;Винт М5х20;M05x20, A2-70, DIN 7991
